date,name,handle,followerCount,status,error
2026-01-27,0x,0xProject,273493,success,
2026-01-27,Agora,withAUSD,21431,success,
2026-01-27,AZEx,azex_io,27894,success,
2026-01-27,Aarna,aarnasays,11434,success,
2026-01-27,Accountable,AccountableData,63548,success,
2026-01-27,Across Protocol,AcrossProtocol,120947,success,
2026-01-27,Acurast,Acurast,134558,success,
2026-01-27,AethonSwap,AethonSwap,6791,success,
2026-01-27,Alchemy,Alchemy,105906,success,
2026-01-27,AllDomains,alldomains,141473,success,
2026-01-27,Allium,AlliumLabs,8905,success,
2026-01-27,Ambient,ambient_finance,95624,success,
2026-01-27,Ambire,ambirewallet,130,success,
2026-01-27,Amertis,AmertisExchange,6773,success,
2026-01-27,Ammalgam,Ammalgam,29973,success,
2026-01-27,ApeBond,apebond,391119,success,
2026-01-27,Apriori,apriori,208750,success,
2026-01-27,Atlantis,atlantisdex_xyz,15935,success,
2026-01-27,Atomic Wallet,atomicwallet,125451,success,
2026-01-27,Azaar,AzaarExchange,2411,success,
2026-01-27,Backpack,Backpack,311903,success,
2026-01-27,Balancer,Balancer,154692,success,
2026-01-27,Band Protocol,BandProtocol,143223,success,
2026-01-27,Bean Exchange,Bean_DEX,77979,success,
2026-01-27,Bebop,bebop_dex,61947,success,
2026-01-27,Biconomy,biconomy,118814,success,
2026-01-27,Bima,bimabtc,151885,success,
2026-01-27,Birdeye,birdeye_so,76247,success,
2026-01-27,Birdeye Data Services,birdeye_data,711,success,
2026-01-27,Bitget Wallet,BitgetWallet,2992083,success,
2026-01-27,Blazpay,blazpaylabs,363667,success,
2026-01-27,BlockStreet,blockst_hq,62937,success,
2026-01-27,BlockVision,blockvisionhq,109510,success,
2026-01-27,Blockdaemon,BlockdaemonHQ,16621,success,
2026-01-27,Blocklive,blocklive_,1335,success,
2026-01-27,Breath of Estova,BreathOfEstova,30890,success,
2026-01-27,Buzzing App,BuzzingApp,8781,success,
2026-01-27,Bybit Web3 Wallet,Bybit_Web3,0,error,User not found
2026-01-27,CPLX,cplx_io,668,success,
2026-01-27,CULT,cultdottrade,125632,success,
2026-01-27,Caddy Finance,caddyfi,6037,success,
2026-01-27,Capa,capa_fi,2162,success,
2026-01-27,Castora,Castora_xyz,10924,success,
2026-01-27,Catton AI,Cattontw,87625,success,
2026-01-27,Celeris,0xCeleris,772,success,
2026-01-27,Chainbase,ChainbaseHQ,434063,success,
2026-01-27,Chainlink,chainlink,1387830,success,
2026-01-27,Chainsight,Chainsight_,15817,success,
2026-01-27,Chronicle,ChronicleLabs,11531,success,
2026-01-27,Clober,CloberDEX,33493,success,
2026-01-27,CoNFT,ConftApp,143309,success,
2026-01-27,Codex,trycodex,1080,success,
2026-01-27,Coin98 AI Wallet,coin98_wallet,551538,success,
2026-01-27,Covenant,covenantFi,4563,success,
2026-01-27,Crust Finance,CrustFinance,5270,success,
2026-01-27,Crystal,CrystalExch,37979,success,
2026-01-27,Cult Markets,cultmarkets,102,success,
2026-01-27,Curvance,Curvance,123771,success,
2026-01-27,Cycle Network,cyclenetwork_GO,270924,success,
2026-01-27,Cyferio,cyferio_labs,92,success,
2026-01-27,DAU Cards,DAUCards,6451,success,
2026-01-27,DRKVRS,drkvrs,22687,success,
2026-01-27,DRPC,drpcorg,10187,success,
2026-01-27,DashX,dashxhq,1026,success,
2026-01-27,Defined,definedfi,13449,success,
2026-01-27,Demask Finance,demaskfinance,0,error,No data
2026-01-27,Dialect,saydialect,65537,success,
2026-01-27,Diffuse,DiffuseFi,480,success,
2026-01-27,Dirol Protocol,DirolProtocol,7806,success,
2026-01-27,DiscoCats,mydiscocats,1,success,
2026-01-27,Doppler Finance,dopplerprotocol,2854,success,
2026-01-27,Drake,DrakeExchange,44770,success,
2026-01-27,Dune Analytics,Dune,246088,success,
2026-01-27,Dusted,dusted_app,95,success,
2026-01-27,Dynamic,dynamic_xyz,17952,success,
2026-01-27,Dyson Finance,DysonFinance,53434,success,
2026-01-27,ELFi Protocol,ELFiProtocol,14133,success,
2026-01-27,EOracle,EO_Network,40738,success,
2026-01-27,Eisen Finance,EisenLabs,6222,success,
2026-01-27,Enjoyoors,enjoyoorsxyz,24458,success,
2026-01-27,Entangle,Entanglefi,139954,success,
2026-01-27,Envio,envio_indexer,4096,success,
2026-01-27,Euclid Protocol,EuclidProtocol,101927,success,
2026-01-27,Euler,eulerfinance,71992,success,
2026-01-27,FUKU,Fuku_nad,2001,success,
2026-01-27,FWX,fwxfinance,89061,success,
2026-01-27,Fans3 AI,Fans3_AI,6761,success,
2026-01-27,Farcaster,farcaster_xyz,232678,success,
2026-01-27,FastLane,0xFastLane,37196,success,
2026-01-27,Fiamma,fiamma_labs,142416,success,
2026-01-27,Fizen.io,fizenapp,100457,success,
2026-01-27,Flap,flapdotsh,53528,success,
2026-01-27,Flipside Crypto,flipsidecrypto,63543,success,
2026-01-27,Folks Finance,FolksFinance,129404,success,
2026-01-27,Fonbnk,fonbnk1,4521,success,
2026-01-27,Fortytwo,fortytwo,36039,success,
2026-01-27,FoxWallet,FoxWallet,165403,success,
2026-01-27,GM Agents,GMAgents_AI,263549,success,
2026-01-27,Garden,gardenfi,10677,success,
2026-01-27,Gasp,Gasp_xyz,80088,success,
2026-01-27,Gateway,Gateway_xyz,4,success,
2026-01-27,Gearbox Protocol,GearboxProtocol,54656,success,
2026-01-27,Gelato,gelatonetwork,68690,success,
2026-01-27,Ghost,0xGhostLogs,4687,success,
2026-01-27,Gifted.art,gifteddotart,595,success,
2026-01-27,GoPlus,goplussecurity,458048,success,
2026-01-27,Covalent,Covalent_HQ,244445,success,
2026-01-27,Golden Goose,GoldenGoose_app,63811,success,
2026-01-27,Goldsky,goldskyio,11556,success,
2026-01-27,Gorillionaire,gorillionaireai,1490,success,
2026-01-27,HaHa Wallet,haha_app,160632,success,
2026-01-27,Hashflow,hashflow,180042,success,
2026-01-27,Hawk Terminal,hawkterminal_HQ,6811,success,
2026-01-27,Hemera,HemeraProtocol,102295,success,
2026-01-27,Henry Labs,henrylabs,131907,success,
2026-01-27,Hive,Hive_Monad,624,success,
2026-01-27,Hyperlane,hyperlane,129925,success,
2026-01-27,INFINIT,infinit_labs,80631,success,
2026-01-27,IZUMi Finance,izumi_Finance,347302,success,
2026-01-27,Impossible Finance,impossiblefi,0,error,No data
2026-01-27,Index Network,indexnetwork_,1028,success,
2026-01-27,Jenius,JeniusRndm,178,success,
2026-01-27,Jumper Exchange,jumperexchange,212460,success,
2026-01-27,KINETK,KINETK_AI,3794,success,
2026-01-27,Kansei,0xKansei,497,success,
2026-01-27,KiloEx,KiloEx_perp,233467,success,
2026-01-27,Kingdomly,Kingdomlyapp,66480,success,
2026-01-27,Kintsu,Kintsu,157475,success,
2026-01-27,Kinza Finance,kinzafinance,28591,success,
2026-01-27,Kizzy,kizzymobile,103476,success,
2026-01-27,Kodeus AI,TheKodeusLabs,6355,success,
2026-01-27,Koywe,koywe_latam,340,success,
2026-01-27,KuCoin,KuCoin_Web3,108559,success,
2026-01-27,Kuru,KuruExchange,120625,success,
2026-01-27,LAGOON,lagoon_finance,1770,success,
2026-01-27,LEVR.bet,levr_bet,46413,success,
2026-01-27,LFJ,LFJ_gg,373363,success,
2026-01-27,LI.FI,lifiprotocol,268564,success,
2026-01-27,LayerZero,LayerZero_Core,717686,success,
2026-01-27,Layerhub,layerhub,7396,success,
2026-01-27,Leap Wallet,leap_wallet,204658,success,
2026-01-27,Legends of Elysium,LegendsElysium,48962,success,
2026-01-27,LeverUp,LeverUp_xyz,17343,success,
2026-01-27,Likwid,likwid_fi,42764,success,
2026-01-27,Lombard,Lombard_Finance,111577,success,
2026-01-27,LootGO,lootgo_official,91954,success,
2026-01-27,Lootify,Lootify_xyz,15589,success,
2026-01-27,Lumiterra,LumiterraGame,196189,success,
2026-01-27,M0narch,MonadM0narch,19312,success,
2026-01-27,MERV,merv_wtf,162703,success,
2026-01-27,Mace,mace_ag,15162,success,
2026-01-27,Mach Exchange,mach_exchange,9500,success,
2026-01-27,Madhouse,usemadhouse,0,error,No data
2026-01-27,Magic Eden,magiceden,814827,success,
2026-01-27,Magma,MagmaStaking,49485,success,
2026-01-27,Mahjong123,0xMJM,65734,success,
2026-01-27,Memesteroid,memesteroid,10065,success,
2026-01-27,Mentaport,mentaportinc,0,error,No data
2026-01-27,Meow Finance,meowfi_,13946,success,
2026-01-27,Meta Leap,MetaLeap_io,11181,success,
2026-01-27,MetaKeep,metakeep,219,success,
2026-01-27,Mflo,mfloai,157,success,
2026-01-27,MindAgentsAI,MindAgentsAI,9161,success,
2026-01-27,Mintpad,mintpadco,151355,success,
2026-01-27,Mobula,Mobulaio,10688,success,
2026-01-27,MonadExplorer by BlockVision,blockvisionhq,109510,success,
2026-01-27,Monadata AI,monadata_ai,1192,success,
2026-01-27,Monday Trade,MondayTrade_,10140,success,
2026-01-27,Monorail,monorail_xyz,19080,success,
2026-01-27,Morpheus,Morpheus_Farm,10982,success,
2026-01-27,Moseiki,MoseikiApp,162049,success,
2026-01-27,Mozi,mozifinance,65468,success,
2026-01-27,Mu Digital,MuDigitalHQ,15202,success,
2026-01-27,Multipli,multiplifi,113357,success,
2026-01-27,Multisynq,multisynq,17404,success,
2026-01-27,NADSA,0xNADSA,150502,success,
2026-01-27,NFTs2Me,NFTs2Me,118297,success,
2026-01-27,NXTchain,NXT_chain,3285,success,
2026-01-27,Nabla Finance,nablafi,49109,success,
