date,name,handle,followerCount,status,error
2026-04-20,0x,0xProject,273244,success,
2026-04-20,Agora,withAUSD,20788,success,
2026-04-20,AZEx,azex_io,26432,success,
2026-04-20,Aarna,aarnasays,11347,success,
2026-04-20,Accountable,AccountableData,61526,success,
2026-04-20,Across Protocol,AcrossProtocol,104372,success,
2026-04-20,Acurast,Acurast,119610,success,
2026-04-20,AethonSwap,AethonSwap,6075,success,
2026-04-20,Alchemy,Alchemy,106848,success,
2026-04-20,AllDomains,alldomains,133914,success,
2026-04-20,Allium,AlliumLabs,11899,success,
2026-04-20,Ambient,ambient_finance,92895,success,
2026-04-20,Ambire,ambirewallet,138,success,
2026-04-20,Amertis,AmertisExchange,6317,success,
2026-04-20,Ammalgam,Ammalgam,28179,success,
2026-04-20,ApeBond,apebond,388768,success,
2026-04-20,Apriori,apriori,196667,success,
2026-04-20,Atlantis,atlantisdex_xyz,14728,success,
2026-04-20,Atomic Wallet,atomicwallet,122840,success,
2026-04-20,Azaar,AzaarExchange,2239,success,
2026-04-20,Backpack,Backpack,314101,success,
2026-04-20,Balancer,Balancer,153585,success,
2026-04-20,Band Protocol,BandProtocol,141123,success,
2026-04-20,Bean Exchange,Bean_DEX,73236,success,
2026-04-20,Bebop,bebop_dex,60334,success,
2026-04-20,Biconomy,biconomy,117119,success,
2026-04-20,Bima,bimabtc,144383,success,
2026-04-20,Birdeye,birdeye_so,75506,success,
2026-04-20,Birdeye Data Services,birdeye_data,1292,success,
2026-04-20,Bitget Wallet,BitgetWallet,2947064,success,
2026-04-20,Blazpay,blazpaylabs,354443,success,
2026-04-20,BlockStreet,blockst_hq,83024,success,
2026-04-20,BlockVision,blockvisionhq,105169,success,
2026-04-20,Blockdaemon,BlockdaemonHQ,16621,success,
2026-04-20,Blocklive,blocklive_,1283,success,
2026-04-20,Breath of Estova,BreathOfEstova,28706,success,
2026-04-20,Buzzing App,BuzzingApp,10,success,
2026-04-20,Bybit Web3 Wallet,Bybit_Web3,0,error,User not found
2026-04-20,CPLX,cplx_io,957,success,
2026-04-20,CULT,cultdottrade,118156,success,
2026-04-20,Caddy Finance,caddyfi,5711,success,
2026-04-20,Capa,capa_fi,2133,success,
2026-04-20,Castora,Castora_xyz,10307,success,
2026-04-20,Catton AI,Cattontw,85614,success,
2026-04-20,Celeris,0xCeleris,701,success,
2026-04-20,Chainbase,ChainbaseHQ,415956,success,
2026-04-20,Chainlink,chainlink,1389876,success,
2026-04-20,Chainsight,Chainsight_,15256,success,
2026-04-20,Chronicle,ChronicleLabs,11243,success,
2026-04-20,Clober,CloberDEX,31650,success,
2026-04-20,CoNFT,ConftApp,135473,success,
2026-04-20,Codex,trycodex,1216,success,
2026-04-20,Coin98 AI Wallet,coin98_wallet,543471,success,
2026-04-20,Covenant,covenantFi,4556,success,
2026-04-20,Crust Finance,CrustFinance,4969,success,
2026-04-20,Crystal,CrystalExch,35790,success,
2026-04-20,Cult Markets,cultmarkets,91,success,
2026-04-20,Curvance,Curvance,118891,success,
2026-04-20,Cycle Network,cyclenetwork_GO,258592,success,
2026-04-20,Cyferio,cyferio_labs,87,success,
2026-04-20,DAU Cards,DAUCards,5978,success,
2026-04-20,DRKVRS,drkvrs,21738,success,
2026-04-20,DRPC,drpcorg,10114,success,
2026-04-20,DashX,dashxhq,1560,success,
2026-04-20,Defined,definedfi,13442,success,
2026-04-20,Demask Finance,demaskfinance,0,error,No data
2026-04-20,Dialect,saydialect,64841,success,
2026-04-20,Diffuse,DiffuseFi,499,success,
2026-04-20,Dirol Protocol,DirolProtocol,7553,success,
2026-04-20,DiscoCats,mydiscocats,1,success,
2026-04-20,Doppler Finance,dopplerprotocol,5378,success,
2026-04-20,Drake,DrakeExchange,41125,success,
2026-04-20,Dune Analytics,Dune,332291,success,
2026-04-20,Dusted,dusted_app,91,success,
2026-04-20,Dynamic,dynamic_xyz,17691,success,
2026-04-20,Dyson Finance,DysonFinance,51458,success,
2026-04-20,ELFi Protocol,ELFiProtocol,12546,success,
2026-04-20,EOracle,EO_Network,38537,success,
2026-04-20,Eisen Finance,EisenLabs,6071,success,
2026-04-20,Enjoyoors,enjoyoorsxyz,22166,success,
2026-04-20,Entangle,Entanglefi,0,error,No data
2026-04-20,Envio,envio_indexer,4104,success,
2026-04-20,Euclid Protocol,EuclidProtocol,107052,success,
2026-04-20,Euler,eulerfinance,71128,success,
2026-04-20,FUKU,Fuku_nad,1755,success,
2026-04-20,FWX,fwxfinance,87451,success,
2026-04-20,Fans3 AI,Fans3_AI,6254,success,
2026-04-20,Farcaster,farcaster_xyz,226776,success,
2026-04-20,FastLane,0xFastLane,34867,success,
2026-04-20,Fiamma,fiamma_labs,0,error,User not found
2026-04-20,Fizen.io,fizenapp,91109,success,
2026-04-20,Flap,flapdotsh,71398,success,
2026-04-20,Flipside Crypto,flipsidecrypto,62623,success,
2026-04-20,Folks Finance,FolksFinance,125432,success,
2026-04-20,Fonbnk,fonbnk1,4547,success,
2026-04-20,Fortytwo,fortytwo,0,error,No data
2026-04-20,FoxWallet,FoxWallet,160825,success,
2026-04-20,GM Agents,GMAgents_AI,256841,success,
2026-04-20,Garden,gardenfi,10362,success,
2026-04-20,Gasp,Gasp_xyz,76580,success,
2026-04-20,Gateway,Gateway_xyz,9,success,
2026-04-20,Gearbox Protocol,GearboxProtocol,53997,success,
2026-04-20,Gelato,gelatonetwork,67250,success,
2026-04-20,Ghost,0xGhostLogs,4682,success,
2026-04-20,Gifted.art,gifteddotart,571,success,
2026-04-20,GoPlus,goplussecurity,448345,success,
2026-04-20,Covalent,Covalent_HQ,238480,success,
2026-04-20,Golden Goose,GoldenGoose_app,60833,success,
2026-04-20,Goldsky,goldskyio,11301,success,
2026-04-20,Gorillionaire,gorillionaireai,1320,success,
2026-04-20,HaHa Wallet,haha_app,151451,success,
2026-04-20,Hashflow,hashflow,177265,success,
2026-04-20,Hawk Terminal,hawkterminal_HQ,6383,success,
2026-04-20,Hemera,HemeraProtocol,100737,success,
2026-04-20,Henry Labs,henrylabs,125825,success,
2026-04-20,Hive,Hive_Monad,566,success,
2026-04-20,Hyperlane,hyperlane,125590,success,
2026-04-20,INFINIT,infinit_labs,75134,success,
2026-04-20,IZUMi Finance,izumi_Finance,339624,success,
2026-04-20,Impossible Finance,impossiblefi,0,error,No data
2026-04-20,Index Network,indexnetwork_,1041,success,
2026-04-20,Jenius,JeniusRndm,192,success,
2026-04-20,Jumper Exchange,jumperexchange,0,error,No data
2026-04-20,KINETK,KINETK_AI,3773,success,
2026-04-20,Kansei,0xKansei,428,success,
2026-04-20,KiloEx,KiloEx_perp,224986,success,
2026-04-20,Kingdomly,Kingdomlyapp,63384,success,
2026-04-20,Kintsu,Kintsu,149229,success,
2026-04-20,Kinza Finance,kinzafinance,27662,success,
2026-04-20,Kizzy,kizzymobile,97754,success,
2026-04-20,Kodeus AI,TheKodeusLabs,11162,success,
2026-04-20,Koywe,koywe_latam,379,success,
2026-04-20,KuCoin,KuCoin_Web3,118941,success,
2026-04-20,Kuru,KuruExchange,114088,success,
2026-04-20,LAGOON,lagoon_finance,1986,success,
2026-04-20,LEVR.bet,levr_bet,44154,success,
2026-04-20,LFJ,LFJ_gg,367285,success,
2026-04-20,LI.FI,lifiprotocol,266412,success,
2026-04-20,LayerZero,LayerZero_Core,718807,success,
2026-04-20,Layerhub,layerhub,7052,success,
2026-04-20,Leap Wallet,leap_wallet,199575,success,
2026-04-20,Legends of Elysium,LegendsElysium,47073,success,
2026-04-20,LeverUp,LeverUp_xyz,9811,success,
2026-04-20,Likwid,likwid_fi,40580,success,
2026-04-20,Lombard,Lombard_Finance,107194,success,
2026-04-20,LootGO,lootgo_official,87789,success,
2026-04-20,Lootify,Lootify_xyz,13957,success,
2026-04-20,Lumiterra,LumiterraGame,173755,success,
2026-04-20,M0narch,MonadM0narch,17542,success,
2026-04-20,MERV,merv_wtf,0,error,No data
2026-04-20,Mace,mace_ag,14155,success,
2026-04-20,Mach Exchange,mach_exchange,8154,success,
2026-04-20,Madhouse,usemadhouse,0,error,No data
2026-04-20,Magic Eden,magiceden,800628,success,
2026-04-20,Magma,MagmaStaking,45815,success,
2026-04-20,Mahjong123,0xMJM,64262,success,
2026-04-20,Memesteroid,memesteroid,0,error,No data
2026-04-20,Mentaport,mentaportinc,0,error,No data
2026-04-20,Meow Finance,meowfi_,12782,success,
2026-04-20,Meta Leap,MetaLeap_io,10499,success,
2026-04-20,MetaKeep,metakeep,215,success,
2026-04-20,Mflo,mfloai,132,success,
2026-04-20,MindAgentsAI,MindAgentsAI,8245,success,
2026-04-20,Mintpad,mintpadco,146038,success,
2026-04-20,Mobula,Mobulaio,10440,success,
2026-04-20,MonadExplorer by BlockVision,blockvisionhq,105168,success,
2026-04-20,Monadata AI,monadata_ai,1116,success,
2026-04-20,Monday Trade,MondayTrade_,10500,success,
2026-04-20,Monorail,monorail_xyz,17621,success,
2026-04-20,Morpheus,Morpheus_Farm,10344,success,
2026-04-20,Moseiki,MoseikiApp,157603,success,
2026-04-20,Mozi,mozifinance,62078,success,
2026-04-20,Mu Digital,MuDigitalHQ,14499,success,
2026-04-20,Multipli,multiplifi,95411,success,
2026-04-20,Multisynq,multisynq,16514,success,
2026-04-20,NADSA,0xNADSA,142778,success,
2026-04-20,NFTs2Me,NFTs2Me,114997,success,
2026-04-20,NXTchain,NXT_chain,2651,success,
2026-04-20,Nabla Finance,nablafi,47656,success,
2026-04-20,Nad.fun,naddotfun,127879,success,
