date,name,handle,followerCount,status,error
2026-02-19,0x,0xProject,273926,success,
2026-02-19,Agora,withAUSD,21399,success,
2026-02-19,AZEx,azex_io,27772,success,
2026-02-19,Aarna,aarnasays,11344,success,
2026-02-19,Accountable,AccountableData,63312,success,
2026-02-19,Across Protocol,AcrossProtocol,107419,success,
2026-02-19,Acurast,Acurast,133531,success,
2026-02-19,AethonSwap,AethonSwap,6683,success,
2026-02-19,Alchemy,Alchemy,106235,success,
2026-02-19,AllDomains,alldomains,140115,success,
2026-02-19,Allium,AlliumLabs,11164,success,
2026-02-19,Ambient,ambient_finance,95309,success,
2026-02-19,Ambire,ambirewallet,135,success,
2026-02-19,Amertis,AmertisExchange,6644,success,
2026-02-19,Ammalgam,Ammalgam,29442,success,
2026-02-19,ApeBond,apebond,391038,success,
2026-02-19,Apriori,apriori,206881,success,
2026-02-19,Atlantis,atlantisdex_xyz,15776,success,
2026-02-19,Atomic Wallet,atomicwallet,125435,success,
2026-02-19,Azaar,AzaarExchange,2388,success,
2026-02-19,Backpack,Backpack,313585,success,
2026-02-19,Balancer,Balancer,154656,success,
2026-02-19,Band Protocol,BandProtocol,143304,success,
2026-02-19,Bean Exchange,Bean_DEX,77379,success,
2026-02-19,Bebop,bebop_dex,61771,success,
2026-02-19,Biconomy,biconomy,118694,success,
2026-02-19,Bima,bimabtc,150079,success,
2026-02-19,Birdeye,birdeye_so,76275,success,
2026-02-19,Birdeye Data Services,birdeye_data,744,success,
2026-02-19,Bitget Wallet,BitgetWallet,2985799,success,
2026-02-19,Blazpay,blazpaylabs,362601,success,
2026-02-19,BlockStreet,blockst_hq,63662,success,
2026-02-19,BlockVision,blockvisionhq,108801,success,
2026-02-19,Blockdaemon,BlockdaemonHQ,16642,success,
2026-02-19,Blocklive,blocklive_,1327,success,
2026-02-19,Breath of Estova,BreathOfEstova,30527,success,
2026-02-19,Buzzing App,BuzzingApp,8727,success,
2026-02-19,Bybit Web3 Wallet,Bybit_Web3,0,error,User not found
2026-02-19,CPLX,cplx_io,736,success,
2026-02-19,CULT,cultdottrade,124528,success,
2026-02-19,Caddy Finance,caddyfi,5973,success,
2026-02-19,Capa,capa_fi,2157,success,
2026-02-19,Castora,Castora_xyz,10827,success,
2026-02-19,Catton AI,Cattontw,87321,success,
2026-02-19,Celeris,0xCeleris,759,success,
2026-02-19,Chainbase,ChainbaseHQ,432194,success,
2026-02-19,Chainlink,chainlink,1391473,success,
2026-02-19,Chainsight,Chainsight_,15741,success,
2026-02-19,Chronicle,ChronicleLabs,11582,success,
2026-02-19,Clober,CloberDEX,33382,success,
2026-02-19,CoNFT,ConftApp,142360,success,
2026-02-19,Codex,trycodex,1105,success,
2026-02-19,Coin98 AI Wallet,coin98_wallet,550666,success,
2026-02-19,Covenant,covenantFi,4560,success,
2026-02-19,Crust Finance,CrustFinance,5236,success,
2026-02-19,Crystal,CrystalExch,37662,success,
2026-02-19,Cult Markets,cultmarkets,101,success,
2026-02-19,Curvance,Curvance,123084,success,
2026-02-19,Cycle Network,cyclenetwork_GO,268887,success,
2026-02-19,Cyferio,cyferio_labs,91,success,
2026-02-19,DAU Cards,DAUCards,6360,success,
2026-02-19,DRKVRS,drkvrs,22589,success,
2026-02-19,DRPC,drpcorg,10222,success,
2026-02-19,DashX,dashxhq,1306,success,
2026-02-19,Defined,definedfi,13450,success,
2026-02-19,Demask Finance,demaskfinance,0,error,No data
2026-02-19,Dialect,saydialect,65542,success,
2026-02-19,Diffuse,DiffuseFi,496,success,
2026-02-19,Dirol Protocol,DirolProtocol,7744,success,
2026-02-19,DiscoCats,mydiscocats,1,success,
2026-02-19,Doppler Finance,dopplerprotocol,4549,success,
2026-02-19,Drake,DrakeExchange,44300,success,
2026-02-19,Dune Analytics,Dune,268360,success,
2026-02-19,Dusted,dusted_app,96,success,
2026-02-19,Dynamic,dynamic_xyz,17963,success,
2026-02-19,Dyson Finance,DysonFinance,53236,success,
2026-02-19,ELFi Protocol,ELFiProtocol,14104,success,
2026-02-19,EOracle,EO_Network,40519,success,
2026-02-19,Eisen Finance,EisenLabs,6209,success,
2026-02-19,Enjoyoors,enjoyoorsxyz,24094,success,
2026-02-19,Entangle,Entanglefi,139458,success,
2026-02-19,Envio,envio_indexer,4159,success,
2026-02-19,Euclid Protocol,EuclidProtocol,101372,success,
2026-02-19,Euler,eulerfinance,72190,success,
