date,name,handle,followerCount,status,error
2026-03-02,0x,0xProject,274028,success,
2026-03-02,Agora,withAUSD,21368,success,
2026-03-02,AZEx,azex_io,27672,success,
2026-03-02,Aarna,aarnasays,11307,success,
2026-03-02,Accountable,AccountableData,63118,success,
2026-03-02,Across Protocol,AcrossProtocol,105171,success,
2026-03-02,Acurast,Acurast,136660,success,
2026-03-02,AethonSwap,AethonSwap,6643,success,
2026-03-02,Alchemy,Alchemy,106473,success,
2026-03-02,AllDomains,alldomains,139572,success,
2026-03-02,Allium,AlliumLabs,11259,success,
2026-03-02,Ambient,ambient_finance,95138,success,
2026-03-02,Ambire,ambirewallet,137,success,
2026-03-02,Amertis,AmertisExchange,6589,success,
2026-03-02,Ammalgam,Ammalgam,29389,success,
2026-03-02,ApeBond,apebond,390982,success,
2026-03-02,Apriori,apriori,205450,success,
2026-03-02,Atlantis,atlantisdex_xyz,15707,success,
2026-03-02,Atomic Wallet,atomicwallet,125226,success,
2026-03-02,Azaar,AzaarExchange,2373,success,
2026-03-02,Backpack,Backpack,314075,success,
2026-03-02,Balancer,Balancer,154580,success,
2026-03-02,Band Protocol,BandProtocol,143149,success,
2026-03-02,Bean Exchange,Bean_DEX,76948,success,
2026-03-02,Bebop,bebop_dex,61706,success,
2026-03-02,Biconomy,biconomy,118578,success,
2026-03-02,Bima,bimabtc,149578,success,
2026-03-02,Birdeye,birdeye_so,76338,success,
2026-03-02,Birdeye Data Services,birdeye_data,753,success,
2026-03-02,Bitget Wallet,BitgetWallet,2982118,success,
2026-03-02,Blazpay,blazpaylabs,361783,success,
2026-03-02,BlockStreet,blockst_hq,70049,success,
2026-03-02,BlockVision,blockvisionhq,108409,success,
2026-03-02,Blockdaemon,BlockdaemonHQ,16705,success,
2026-03-02,Blocklive,blocklive_,1324,success,
2026-03-02,Breath of Estova,BreathOfEstova,30371,success,
2026-03-02,Buzzing App,BuzzingApp,8701,success,
2026-03-02,Bybit Web3 Wallet,Bybit_Web3,0,error,User not found
2026-03-02,CPLX,cplx_io,886,success,
2026-03-02,CULT,cultdottrade,123882,success,
2026-03-02,Caddy Finance,caddyfi,5933,success,
2026-03-02,Capa,capa_fi,2156,success,
2026-03-02,Castora,Castora_xyz,10770,success,
2026-03-02,Catton AI,Cattontw,87171,success,
2026-03-02,Celeris,0xCeleris,755,success,
