date,name,handle,followerCount,status,error
2026-02-02,0x,0xProject,273484,success,
2026-02-02,Agora,withAUSD,21423,success,
2026-02-02,AZEx,azex_io,27839,success,
2026-02-02,Aarna,aarnasays,11394,success,
2026-02-02,Accountable,AccountableData,63411,success,
2026-02-02,Across Protocol,AcrossProtocol,117895,success,
2026-02-02,Acurast,Acurast,133895,success,
2026-02-02,AethonSwap,AethonSwap,6753,success,
2026-02-02,Alchemy,Alchemy,105906,success,
2026-02-02,AllDomains,alldomains,140765,success,
2026-02-02,Allium,AlliumLabs,8908,success,
2026-02-02,Ambient,ambient_finance,95543,success,
2026-02-02,Ambire,ambirewallet,132,success,
2026-02-02,Amertis,AmertisExchange,6756,success,
2026-02-02,Ammalgam,Ammalgam,29562,success,
2026-02-02,ApeBond,apebond,391099,success,
2026-02-02,Apriori,apriori,208312,success,
2026-02-02,Atlantis,atlantisdex_xyz,15881,success,
2026-02-02,Atomic Wallet,atomicwallet,125370,success,
2026-02-02,Azaar,AzaarExchange,2400,success,
2026-02-02,Backpack,Backpack,312227,success,
2026-02-02,Balancer,Balancer,154630,success,
2026-02-02,Band Protocol,BandProtocol,143356,success,
2026-02-02,Bean Exchange,Bean_DEX,77710,success,
2026-02-02,Bebop,bebop_dex,61912,success,
2026-02-02,Biconomy,biconomy,118808,success,
2026-02-02,Bima,bimabtc,151156,success,
2026-02-02,Birdeye,birdeye_so,76260,success,
2026-02-02,Birdeye Data Services,birdeye_data,735,success,
2026-02-02,Bitget Wallet,BitgetWallet,2989561,success,
2026-02-02,Blazpay,blazpaylabs,363105,success,
2026-02-02,BlockStreet,blockst_hq,64695,success,
2026-02-02,BlockVision,blockvisionhq,109207,success,
2026-02-02,Blockdaemon,BlockdaemonHQ,16634,success,
2026-02-02,Blocklive,blocklive_,1334,success,
2026-02-02,Breath of Estova,BreathOfEstova,30772,success,
2026-02-02,Buzzing App,BuzzingApp,8758,success,
2026-02-02,Bybit Web3 Wallet,Bybit_Web3,0,error,User not found
2026-02-02,CPLX,cplx_io,747,success,
2026-02-02,CULT,cultdottrade,125175,success,
2026-02-02,Caddy Finance,caddyfi,6017,success,
2026-02-02,Capa,capa_fi,2160,success,
2026-02-02,Castora,Castora_xyz,10890,success,
2026-02-02,Catton AI,Cattontw,87521,success,
2026-02-02,Celeris,0xCeleris,767,success,
2026-02-02,Chainbase,ChainbaseHQ,433888,success,
2026-02-02,Chainlink,chainlink,1389266,success,
2026-02-02,Chainsight,Chainsight_,15788,success,
2026-02-02,Chronicle,ChronicleLabs,11599,success,
2026-02-02,Clober,CloberDEX,33404,success,
2026-02-02,CoNFT,ConftApp,142902,success,
2026-02-02,Codex,trycodex,1087,success,
2026-02-02,Coin98 AI Wallet,coin98_wallet,551216,success,
2026-02-02,Covenant,covenantFi,4568,success,
2026-02-02,Crust Finance,CrustFinance,5259,success,
2026-02-02,Crystal,CrystalExch,37890,success,
