date,name,handle,followerCount,status,error
2026-01-02,0x,0xProject,273714,success,
2026-01-02,Agora,withAUSD,21611,success,
2026-01-02,AZEx,azex_io,28270,success,
2026-01-02,Aarna,aarnasays,11713,success,
2026-01-02,Accountable,AccountableData,63936,success,
2026-01-02,Across Protocol,AcrossProtocol,124464,success,
2026-01-02,Acurast,Acurast,138302,success,
2026-01-02,AethonSwap,AethonSwap,7027,success,
2026-01-02,Alchemy,Alchemy,105958,success,
2026-01-02,AllDomains,alldomains,142986,success,
2026-01-02,Allium,AlliumLabs,8872,success,
2026-01-02,Ambient,ambient_finance,96041,success,
2026-01-02,Ambire,ambirewallet,131,success,
2026-01-02,Amertis,AmertisExchange,6839,success,
2026-01-02,Ammalgam,Ammalgam,30314,success,
2026-01-02,ApeBond,apebond,391264,success,
2026-01-02,Apriori,apriori,213078,success,
2026-01-02,Atlantis,atlantisdex_xyz,16128,success,
2026-01-02,Atomic Wallet,atomicwallet,125354,success,
2026-01-02,Azaar,AzaarExchange,2448,success,
2026-01-02,Backpack,Backpack,311197,success,
2026-01-02,Balancer,Balancer,154956,success,
2026-01-02,Band Protocol,BandProtocol,143517,success,
2026-01-02,Bean Exchange,Bean_DEX,79388,success,
2026-01-02,Bebop,bebop_dex,62206,success,
2026-01-02,Biconomy,biconomy,119132,success,
2026-01-02,Bima,bimabtc,153634,success,
2026-01-02,Birdeye,birdeye_so,75976,success,
2026-01-02,Birdeye Data Services,birdeye_data,650,success,
2026-01-02,Bitget Wallet,BitgetWallet,3003623,success,
2026-01-02,Blazpay,blazpaylabs,366052,success,
2026-01-02,BlockStreet,blockst_hq,56871,success,
2026-01-02,BlockVision,blockvisionhq,110741,success,
2026-01-02,Blockdaemon,BlockdaemonHQ,16524,success,
2026-01-02,Blocklive,blocklive_,1352,success,
2026-01-02,Breath of Estova,BreathOfEstova,31486,success,
2026-01-02,Buzzing App,BuzzingApp,8797,success,
2026-01-02,Bybit Web3 Wallet,Bybit_Web3,582049,success,
2026-01-02,CPLX,cplx_io,553,success,
2026-01-02,CULT,cultdottrade,127621,success,
2026-01-02,Caddy Finance,caddyfi,6119,success,
2026-01-02,Capa,capa_fi,2171,success,
2026-01-02,Castora,Castora_xyz,11085,success,
2026-01-02,Catton AI,Cattontw,88155,success,
2026-01-02,Celeris,0xCeleris,785,success,
2026-01-02,Chainbase,ChainbaseHQ,438074,success,
2026-01-02,Chainlink,chainlink,1384346,success,
2026-01-02,Chainsight,Chainsight_,16001,success,
2026-01-02,Chronicle,ChronicleLabs,11615,success,
2026-01-02,Clober,CloberDEX,33848,success,
2026-01-02,CoNFT,ConftApp,144389,success,
2026-01-02,Codex,trycodex,1061,success,
2026-01-02,Coin98 AI Wallet,coin98_wallet,553267,success,
2026-01-02,Covenant,covenantFi,4567,success,
2026-01-02,Crust Finance,CrustFinance,5355,success,
2026-01-02,Crystal,CrystalExch,38639,success,
2026-01-02,Cult Markets,cultmarkets,104,success,
2026-01-02,Curvance,Curvance,125400,success,
2026-01-02,Cycle Network,cyclenetwork_GO,273516,success,
2026-01-02,Cyferio,cyferio_labs,94,success,
2026-01-02,DAU Cards,DAUCards,6547,success,
2026-01-02,DRKVRS,drkvrs,22893,success,
2026-01-02,DRPC,drpcorg,10204,success,
2026-01-02,DashX,dashxhq,1045,success,
2026-01-02,Defined,definedfi,13476,success,
2026-01-02,Demask Finance,demaskfinance,0,error,No data
2026-01-02,Dialect,saydialect,65553,success,
2026-01-02,Diffuse,DiffuseFi,480,success,
2026-01-02,Dirol Protocol,DirolProtocol,7851,success,
2026-01-02,DiscoCats,mydiscocats,2,success,
2026-01-02,Doppler Finance,dopplerprotocol,2875,success,
2026-01-02,Drake,DrakeExchange,45441,success,
2026-01-02,Dune Analytics,Dune,218063,success,
2026-01-02,Dusted,dusted_app,93,success,
2026-01-02,Dynamic,dynamic_xyz,17925,success,
2026-01-02,Dyson Finance,DysonFinance,53786,success,
2026-01-02,ELFi Protocol,ELFiProtocol,14194,success,
2026-01-02,EOracle,EO_Network,42097,success,
2026-01-02,Eisen Finance,EisenLabs,6247,success,
2026-01-02,Enjoyoors,enjoyoorsxyz,24905,success,
2026-01-02,Entangle,Entanglefi,140791,success,
2026-01-02,Envio,envio_indexer,4089,success,
2026-01-02,Euclid Protocol,EuclidProtocol,103167,success,
2026-01-02,Euler,eulerfinance,72065,success,
2026-01-02,FUKU,Fuku_nad,2035,success,
2026-01-02,FWX,fwxfinance,89334,success,
2026-01-02,Fans3 AI,Fans3_AI,6918,success,
2026-01-02,Farcaster,farcaster_xyz,233088,success,
2026-01-02,FastLane,0xFastLane,37737,success,
2026-01-02,Fiamma,fiamma_labs,143979,success,
2026-01-02,Fizen.io,fizenapp,100768,success,
2026-01-02,Flap,flapdotsh,49722,success,
2026-01-02,Flipside Crypto,flipsidecrypto,63763,success,
2026-01-02,Folks Finance,FolksFinance,127768,success,
2026-01-02,Fonbnk,fonbnk1,4538,success,
2026-01-02,Fortytwo,fortytwo,36602,success,
2026-01-02,FoxWallet,FoxWallet,166454,success,
2026-01-02,GM Agents,GMAgents_AI,265250,success,
2026-01-02,Garden,gardenfi,10741,success,
2026-01-02,Gasp,Gasp_xyz,80871,success,
2026-01-02,Gateway,Gateway_xyz,0,error,No data
2026-01-02,Gearbox Protocol,GearboxProtocol,54611,success,
2026-01-02,Gelato,gelatonetwork,68951,success,
2026-01-02,Ghost,0xGhostLogs,4642,success,
2026-01-02,Gifted.art,gifteddotart,601,success,
2026-01-02,GoPlus,goplussecurity,460790,success,
2026-01-02,Covalent,Covalent_HQ,245978,success,
2026-01-02,Golden Goose,GoldenGoose_app,64784,success,
2026-01-02,Goldsky,goldskyio,11497,success,
