date,name,handle,followerCount,status,error
2026-01-19,0x,0xProject,273578,success,
2026-01-19,Agora,withAUSD,21478,success,
2026-01-19,AZEx,azex_io,27995,success,
2026-01-19,Aarna,aarnasays,11534,success,
2026-01-19,Accountable,AccountableData,63659,success,
2026-01-19,Across Protocol,AcrossProtocol,124356,success,
2026-01-19,Acurast,Acurast,134764,success,
2026-01-19,AethonSwap,AethonSwap,6861,success,
2026-01-19,Alchemy,Alchemy,105929,success,
2026-01-19,AllDomains,alldomains,141930,success,
2026-01-19,Allium,AlliumLabs,8905,success,
2026-01-19,Ambient,ambient_finance,95785,success,
2026-01-19,Ambire,ambirewallet,132,success,
2026-01-19,Amertis,AmertisExchange,6797,success,
2026-01-19,Ammalgam,Ammalgam,30104,success,
2026-01-19,ApeBond,apebond,391244,success,
2026-01-19,Apriori,apriori,210317,success,
2026-01-19,Atlantis,atlantisdex_xyz,15994,success,
2026-01-19,Atomic Wallet,atomicwallet,125386,success,
2026-01-19,Azaar,AzaarExchange,2421,success,
2026-01-19,Backpack,Backpack,311873,success,
2026-01-19,Balancer,Balancer,154767,success,
2026-01-19,Band Protocol,BandProtocol,143275,success,
2026-01-19,Bean Exchange,Bean_DEX,78459,success,
2026-01-19,Bebop,bebop_dex,62020,success,
2026-01-19,Biconomy,biconomy,118894,success,
2026-01-19,Bima,bimabtc,151918,success,
2026-01-19,Birdeye,birdeye_so,76198,success,
2026-01-19,Birdeye Data Services,birdeye_data,654,success,
2026-01-19,Bitget Wallet,BitgetWallet,2995895,success,
2026-01-19,Blazpay,blazpaylabs,364167,success,
2026-01-19,BlockStreet,blockst_hq,61879,success,
2026-01-19,BlockVision,blockvisionhq,109949,success,
2026-01-19,Blockdaemon,BlockdaemonHQ,16544,success,
2026-01-19,Blocklive,blocklive_,1338,success,
2026-01-19,Breath of Estova,BreathOfEstova,31018,success,
2026-01-19,Buzzing App,BuzzingApp,8785,success,
2026-01-19,Bybit Web3 Wallet,Bybit_Web3,31,success,
2026-01-19,CPLX,cplx_io,668,success,
2026-01-19,CULT,cultdottrade,126144,success,
2026-01-19,Caddy Finance,caddyfi,6058,success,
2026-01-19,Capa,capa_fi,2164,success,
2026-01-19,Castora,Castora_xyz,10963,success,
2026-01-19,Catton AI,Cattontw,87793,success,
2026-01-19,Celeris,0xCeleris,775,success,
2026-01-19,Chainbase,ChainbaseHQ,435281,success,
2026-01-19,Chainlink,chainlink,1386143,success,
2026-01-19,Chainsight,Chainsight_,15872,success,
2026-01-19,Chronicle,ChronicleLabs,11584,success,
