date,name,handle,followerCount,status,error
2026-02-06,0x,0xProject,273752,success,
2026-02-06,Agora,withAUSD,21404,success,
2026-02-06,AZEx,azex_io,27839,success,
2026-02-06,Aarna,aarnasays,11344,success,
2026-02-06,Accountable,AccountableData,63338,success,
2026-02-06,Across Protocol,AcrossProtocol,116005,success,
2026-02-06,Acurast,Acurast,135079,success,
2026-02-06,AethonSwap,AethonSwap,6733,success,
2026-02-06,Alchemy,Alchemy,105980,success,
2026-02-06,AllDomains,alldomains,140528,success,
2026-02-06,Allium,AlliumLabs,8983,success,
2026-02-06,Ambient,ambient_finance,95498,success,
2026-02-06,Ambire,ambirewallet,132,success,
2026-02-06,Amertis,AmertisExchange,6733,success,
2026-02-06,Ammalgam,Ammalgam,29528,success,
2026-02-06,ApeBond,apebond,391052,success,
2026-02-06,Apriori,apriori,208092,success,
2026-02-06,Atlantis,atlantisdex_xyz,15851,success,
2026-02-06,Atomic Wallet,atomicwallet,125180,success,
2026-02-06,Azaar,AzaarExchange,2395,success,
2026-02-06,Backpack,Backpack,312303,success,
2026-02-06,Balancer,Balancer,154642,success,
2026-02-06,Band Protocol,BandProtocol,143358,success,
2026-02-06,Bean Exchange,Bean_DEX,77571,success,
2026-02-06,Bebop,bebop_dex,61867,success,
2026-02-06,Biconomy,biconomy,118749,success,
2026-02-06,Bima,bimabtc,150843,success,
2026-02-06,Birdeye,birdeye_so,76232,success,
2026-02-06,Birdeye Data Services,birdeye_data,738,success,
2026-02-06,Bitget Wallet,BitgetWallet,2988108,success,
2026-02-06,Blazpay,blazpaylabs,362816,success,
2026-02-06,BlockStreet,blockst_hq,64338,success,
2026-02-06,BlockVision,blockvisionhq,109067,success,
2026-02-06,Blockdaemon,BlockdaemonHQ,16634,success,
2026-02-06,Blocklive,blocklive_,1331,success,
2026-02-06,Breath of Estova,BreathOfEstova,30710,success,
2026-02-06,Buzzing App,BuzzingApp,8748,success,
2026-02-06,Bybit Web3 Wallet,Bybit_Web3,0,error,User not found
2026-02-06,CPLX,cplx_io,743,success,
2026-02-06,CULT,cultdottrade,124955,success,
2026-02-06,Caddy Finance,caddyfi,6005,success,
2026-02-06,Capa,capa_fi,2159,success,
2026-02-06,Castora,Castora_xyz,10861,success,
2026-02-06,Catton AI,Cattontw,87454,success,
2026-02-06,Celeris,0xCeleris,764,success,
2026-02-06,Chainbase,ChainbaseHQ,433591,success,
2026-02-06,Chainlink,chainlink,1389788,success,
2026-02-06,Chainsight,Chainsight_,15770,success,
2026-02-06,Chronicle,ChronicleLabs,11592,success,
2026-02-06,Clober,CloberDEX,33366,success,
2026-02-06,CoNFT,ConftApp,142712,success,
2026-02-06,Codex,trycodex,1088,success,
2026-02-06,Coin98 AI Wallet,coin98_wallet,551159,success,
2026-02-06,Covenant,covenantFi,4561,success,
2026-02-06,Crust Finance,CrustFinance,5251,success,
2026-02-06,Crystal,CrystalExch,37848,success,
2026-02-06,Cult Markets,cultmarkets,101,success,
2026-02-06,Curvance,Curvance,123339,success,
2026-02-06,Cycle Network,cyclenetwork_GO,269747,success,
2026-02-06,Cyferio,cyferio_labs,90,success,
2026-02-06,DAU Cards,DAUCards,6395,success,
2026-02-06,DRKVRS,drkvrs,22629,success,
2026-02-06,DRPC,drpcorg,10217,success,
2026-02-06,DashX,dashxhq,1240,success,
2026-02-06,Defined,definedfi,13438,success,
2026-02-06,Demask Finance,demaskfinance,0,error,No data
2026-02-06,Dialect,saydialect,65483,success,
2026-02-06,Diffuse,DiffuseFi,481,success,
2026-02-06,Dirol Protocol,DirolProtocol,7758,success,
2026-02-06,DiscoCats,mydiscocats,1,success,
2026-02-06,Doppler Finance,dopplerprotocol,4016,success,
2026-02-06,Drake,DrakeExchange,44498,success,
2026-02-06,Dune Analytics,Dune,254118,success,
2026-02-06,Dusted,dusted_app,96,success,
2026-02-06,Dynamic,dynamic_xyz,17942,success,
2026-02-06,Dyson Finance,DysonFinance,53337,success,
2026-02-06,ELFi Protocol,ELFiProtocol,14110,success,
2026-02-06,EOracle,EO_Network,40569,success,
2026-02-06,Eisen Finance,EisenLabs,6220,success,
2026-02-06,Enjoyoors,enjoyoorsxyz,24276,success,
2026-02-06,Entangle,Entanglefi,139670,success,
2026-02-06,Envio,envio_indexer,4121,success,
2026-02-06,Euclid Protocol,EuclidProtocol,101960,success,
2026-02-06,Euler,eulerfinance,71982,success,
2026-02-06,FUKU,Fuku_nad,1990,success,
2026-02-06,FWX,fwxfinance,88971,success,
2026-02-06,Fans3 AI,Fans3_AI,6679,success,
2026-02-06,Farcaster,farcaster_xyz,232490,success,
2026-02-06,FastLane,0xFastLane,36986,success,
2026-02-06,Fiamma,fiamma_labs,142109,success,
2026-02-06,Fizen.io,fizenapp,100329,success,
2026-02-06,Flap,flapdotsh,55018,success,
2026-02-06,Flipside Crypto,flipsidecrypto,63499,success,
2026-02-06,Folks Finance,FolksFinance,131867,success,
2026-02-06,Fonbnk,fonbnk1,4511,success,
2026-02-06,Fortytwo,fortytwo,35898,success,
2026-02-06,FoxWallet,FoxWallet,165081,success,
2026-02-06,GM Agents,GMAgents_AI,263037,success,
2026-02-06,Garden,gardenfi,10656,success,
2026-02-06,Gasp,Gasp_xyz,79820,success,
2026-02-06,Gateway,Gateway_xyz,6,success,
2026-02-06,Gearbox Protocol,GearboxProtocol,54645,success,
2026-02-06,Gelato,gelatonetwork,68596,success,
2026-02-06,Ghost,0xGhostLogs,4681,success,
2026-02-06,Gifted.art,gifteddotart,596,success,
2026-02-06,GoPlus,goplussecurity,457409,success,
2026-02-06,Covalent,Covalent_HQ,243961,success,
2026-02-06,Golden Goose,GoldenGoose_app,63555,success,
2026-02-06,Goldsky,goldskyio,11531,success,
2026-02-06,Gorillionaire,gorillionaireai,1479,success,
2026-02-06,HaHa Wallet,haha_app,159957,success,
2026-02-06,Hashflow,hashflow,179850,success,
2026-02-06,Hawk Terminal,hawkterminal_HQ,6760,success,
2026-02-06,Hemera,HemeraProtocol,102201,success,
2026-02-06,Henry Labs,henrylabs,131153,success,
2026-02-06,Hive,Hive_Monad,619,success,
2026-02-06,Hyperlane,hyperlane,129796,success,
2026-02-06,INFINIT,infinit_labs,79698,success,
2026-02-06,IZUMi Finance,izumi_Finance,346765,success,
2026-02-06,Impossible Finance,impossiblefi,0,error,No data
2026-02-06,Index Network,indexnetwork_,1042,success,
2026-02-06,Jenius,JeniusRndm,179,success,
2026-02-06,Jumper Exchange,jumperexchange,212226,success,
2026-02-06,KINETK,KINETK_AI,3783,success,
2026-02-06,Kansei,0xKansei,490,success,
2026-02-06,KiloEx,KiloEx_perp,232849,success,
2026-02-06,Kingdomly,Kingdomlyapp,66303,success,
2026-02-06,Kintsu,Kintsu,156766,success,
2026-02-06,Kinza Finance,kinzafinance,28546,success,
2026-02-06,Kizzy,kizzymobile,103056,success,
2026-02-06,Kodeus AI,TheKodeusLabs,9272,success,
2026-02-06,Koywe,koywe_latam,339,success,
2026-02-06,KuCoin,KuCoin_Web3,110687,success,
2026-02-06,Kuru,KuruExchange,120041,success,
2026-02-06,LAGOON,lagoon_finance,1794,success,
2026-02-06,LEVR.bet,levr_bet,46208,success,
2026-02-06,LFJ,LFJ_gg,373027,success,
2026-02-06,LI.FI,lifiprotocol,268696,success,
2026-02-06,LayerZero,LayerZero_Core,717620,success,
2026-02-06,Layerhub,layerhub,7402,success,
2026-02-06,Leap Wallet,leap_wallet,204359,success,
2026-02-06,Legends of Elysium,LegendsElysium,48892,success,
2026-02-06,LeverUp,LeverUp_xyz,14178,success,
2026-02-06,Likwid,likwid_fi,42101,success,
2026-02-06,Lombard,Lombard_Finance,111225,success,
2026-02-06,LootGO,lootgo_official,91863,success,
2026-02-06,Lootify,Lootify_xyz,15433,success,
2026-02-06,Lumiterra,LumiterraGame,185411,success,
2026-02-06,M0narch,MonadM0narch,19142,success,
2026-02-06,MERV,merv_wtf,161717,success,
2026-02-06,Mace,mace_ag,15109,success,
2026-02-06,Mach Exchange,mach_exchange,9477,success,
