date,name,handle,followerCount,status,error
2026-02-20,0x,0xProject,273979,success,
2026-02-20,Agora,withAUSD,21389,success,
2026-02-20,AZEx,azex_io,27752,success,
2026-02-20,Aarna,aarnasays,11337,success,
2026-02-20,Accountable,AccountableData,63277,success,
2026-02-20,Across Protocol,AcrossProtocol,107398,success,
2026-02-20,Acurast,Acurast,133295,success,
2026-02-20,AethonSwap,AethonSwap,6676,success,
2026-02-20,Alchemy,Alchemy,106242,success,
2026-02-20,AllDomains,alldomains,140057,success,
2026-02-20,Allium,AlliumLabs,11177,success,
2026-02-20,Ambient,ambient_finance,95290,success,
2026-02-20,Ambire,ambirewallet,135,success,
2026-02-20,Amertis,AmertisExchange,6644,success,
2026-02-20,Ammalgam,Ammalgam,29422,success,
2026-02-20,ApeBond,apebond,390996,success,
2026-02-20,Apriori,apriori,206678,success,
2026-02-20,Atlantis,atlantisdex_xyz,15775,success,
2026-02-20,Atomic Wallet,atomicwallet,125356,success,
2026-02-20,Azaar,AzaarExchange,2387,success,
2026-02-20,Backpack,Backpack,313593,success,
2026-02-20,Balancer,Balancer,154651,success,
2026-02-20,Band Protocol,BandProtocol,143284,success,
2026-02-20,Bean Exchange,Bean_DEX,77294,success,
2026-02-20,Bebop,bebop_dex,61759,success,
2026-02-20,Biconomy,biconomy,118672,success,
2026-02-20,Bima,bimabtc,149962,success,
2026-02-20,Birdeye,birdeye_so,76275,success,
2026-02-20,Birdeye Data Services,birdeye_data,744,success,
2026-02-20,Bitget Wallet,BitgetWallet,2985437,success,
2026-02-20,Blazpay,blazpaylabs,362515,success,
2026-02-20,BlockStreet,blockst_hq,63573,success,
2026-02-20,BlockVision,blockvisionhq,108767,success,
2026-02-20,Blockdaemon,BlockdaemonHQ,16669,success,
2026-02-20,Blocklive,blocklive_,1326,success,
2026-02-20,Breath of Estova,BreathOfEstova,30511,success,
2026-02-20,Buzzing App,BuzzingApp,8716,success,
2026-02-20,Bybit Web3 Wallet,Bybit_Web3,0,error,User not found
2026-02-20,CPLX,cplx_io,731,success,
2026-02-20,CULT,cultdottrade,124412,success,
2026-02-20,Caddy Finance,caddyfi,5969,success,
2026-02-20,Capa,capa_fi,2157,success,
2026-02-20,Castora,Castora_xyz,10819,success,
2026-02-20,Catton AI,Cattontw,87302,success,
2026-02-20,Celeris,0xCeleris,758,success,
2026-02-20,Chainbase,ChainbaseHQ,432086,success,
2026-02-20,Chainlink,chainlink,1391526,success,
2026-02-20,Chainsight,Chainsight_,15735,success,
2026-02-20,Chronicle,ChronicleLabs,11585,success,
2026-02-20,Clober,CloberDEX,33319,success,
2026-02-20,CoNFT,ConftApp,142276,success,
2026-02-20,Codex,trycodex,1105,success,
2026-02-20,Coin98 AI Wallet,coin98_wallet,550577,success,
2026-02-20,Covenant,covenantFi,4554,success,
2026-02-20,Crust Finance,CrustFinance,5237,success,
2026-02-20,Crystal,CrystalExch,37648,success,
2026-02-20,Cult Markets,cultmarkets,100,success,
2026-02-20,Curvance,Curvance,123030,success,
2026-02-20,Cycle Network,cyclenetwork_GO,268761,success,
2026-02-20,Cyferio,cyferio_labs,91,success,
2026-02-20,DAU Cards,DAUCards,6355,success,
2026-02-20,DRKVRS,drkvrs,22582,success,
2026-02-20,DRPC,drpcorg,10227,success,
2026-02-20,DashX,dashxhq,1310,success,
2026-02-20,Defined,definedfi,13451,success,
2026-02-20,Demask Finance,demaskfinance,0,error,No data
2026-02-20,Dialect,saydialect,65528,success,
2026-02-20,Diffuse,DiffuseFi,496,success,
2026-02-20,Dirol Protocol,DirolProtocol,7742,success,
2026-02-20,DiscoCats,mydiscocats,1,success,
2026-02-20,Doppler Finance,dopplerprotocol,4550,success,
2026-02-20,Drake,DrakeExchange,44265,success,
2026-02-20,Dune Analytics,Dune,268850,success,
2026-02-20,Dusted,dusted_app,95,success,
2026-02-20,Dynamic,dynamic_xyz,17963,success,
2026-02-20,Dyson Finance,DysonFinance,53222,success,
2026-02-20,ELFi Protocol,ELFiProtocol,14102,success,
2026-02-20,EOracle,EO_Network,40541,success,
2026-02-20,Eisen Finance,EisenLabs,6208,success,
2026-02-20,Enjoyoors,enjoyoorsxyz,24057,success,
2026-02-20,Entangle,Entanglefi,139418,success,
2026-02-20,Envio,envio_indexer,4158,success,
2026-02-20,Euclid Protocol,EuclidProtocol,101312,success,
2026-02-20,Euler,eulerfinance,72197,success,
2026-02-20,FUKU,Fuku_nad,1974,success,
2026-02-20,FWX,fwxfinance,88859,success,
2026-02-20,Fans3 AI,Fans3_AI,6659,success,
2026-02-20,Farcaster,farcaster_xyz,232502,success,
2026-02-20,FastLane,0xFastLane,36798,success,
2026-02-20,Fiamma,fiamma_labs,142397,success,
2026-02-20,Fizen.io,fizenapp,100180,success,
2026-02-20,Flap,flapdotsh,55480,success,
2026-02-20,Flipside Crypto,flipsidecrypto,63435,success,
2026-02-20,Folks Finance,FolksFinance,131438,success,
2026-02-20,Fonbnk,fonbnk1,4513,success,
2026-02-20,Fortytwo,fortytwo,36020,success,
2026-02-20,FoxWallet,FoxWallet,164844,success,
2026-02-20,GM Agents,GMAgents_AI,262716,success,
2026-02-20,Garden,gardenfi,10656,success,
2026-02-20,Gasp,Gasp_xyz,79623,success,
2026-02-20,Gateway,Gateway_xyz,9,success,
2026-02-20,Gearbox Protocol,GearboxProtocol,54673,success,
2026-02-20,Gelato,gelatonetwork,68487,success,
2026-02-20,Ghost,0xGhostLogs,4677,success,
2026-02-20,Gifted.art,gifteddotart,596,success,
2026-02-20,GoPlus,goplussecurity,457565,success,
2026-02-20,Covalent,Covalent_HQ,243510,success,
2026-02-20,Golden Goose,GoldenGoose_app,63359,success,
2026-02-20,Goldsky,goldskyio,11524,success,
2026-02-20,Gorillionaire,gorillionaireai,1449,success,
2026-02-20,HaHa Wallet,haha_app,159158,success,
2026-02-20,Hashflow,hashflow,179598,success,
2026-02-20,Hawk Terminal,hawkterminal_HQ,6734,success,
2026-02-20,Hemera,HemeraProtocol,102090,success,
2026-02-20,Henry Labs,henrylabs,130627,success,
