date,name,handle,followerCount,status,error
2026-01-26,0x,0xProject,273505,success,
2026-01-26,Agora,withAUSD,21421,success,
2026-01-26,AZEx,azex_io,27903,success,
2026-01-26,Aarna,aarnasays,11454,success,
2026-01-26,Accountable,AccountableData,63544,success,
2026-01-26,Across Protocol,AcrossProtocol,120968,success,
2026-01-26,Acurast,Acurast,134575,success,
2026-01-26,AethonSwap,AethonSwap,6803,success,
2026-01-26,Alchemy,Alchemy,105896,success,
2026-01-26,AllDomains,alldomains,141527,success,
2026-01-26,Allium,AlliumLabs,8903,success,
2026-01-26,Ambient,ambient_finance,95652,success,
2026-01-26,Ambire,ambirewallet,130,success,
2026-01-26,Amertis,AmertisExchange,6778,success,
2026-01-26,Ammalgam,Ammalgam,29981,success,
2026-01-26,ApeBond,apebond,391087,success,
2026-01-26,Apriori,apriori,208880,success,
2026-01-26,Atlantis,atlantisdex_xyz,15947,success,
2026-01-26,Atomic Wallet,atomicwallet,125462,success,
2026-01-26,Azaar,AzaarExchange,2408,success,
2026-01-26,Backpack,Backpack,311915,success,
2026-01-26,Balancer,Balancer,154694,success,
2026-01-26,Band Protocol,BandProtocol,143224,success,
2026-01-26,Bean Exchange,Bean_DEX,78001,success,
2026-01-26,Bebop,bebop_dex,61952,success,
2026-01-26,Biconomy,biconomy,118825,success,
2026-01-26,Bima,bimabtc,151474,success,
2026-01-26,Birdeye,birdeye_so,76243,success,
2026-01-26,Birdeye Data Services,birdeye_data,702,success,
2026-01-26,Bitget Wallet,BitgetWallet,2992464,success,
2026-01-26,Blazpay,blazpaylabs,363658,success,
2026-01-26,BlockStreet,blockst_hq,62487,success,
2026-01-26,BlockVision,blockvisionhq,109551,success,
2026-01-26,Blockdaemon,BlockdaemonHQ,16618,success,
2026-01-26,Blocklive,blocklive_,1335,success,
2026-01-26,Breath of Estova,BreathOfEstova,30879,success,
2026-01-26,Buzzing App,BuzzingApp,8784,success,
2026-01-26,Bybit Web3 Wallet,Bybit_Web3,0,error,User not found
2026-01-26,CPLX,cplx_io,656,success,
2026-01-26,CULT,cultdottrade,125669,success,
2026-01-26,Caddy Finance,caddyfi,6039,success,
2026-01-26,Capa,capa_fi,2162,success,
2026-01-26,Castora,Castora_xyz,10924,success,
2026-01-26,Catton AI,Cattontw,87644,success,
2026-01-26,Celeris,0xCeleris,771,success,
2026-01-26,Chainbase,ChainbaseHQ,433947,success,
2026-01-26,Chainlink,chainlink,1387616,success,
2026-01-26,Chainsight,Chainsight_,15821,success,
2026-01-26,Chronicle,ChronicleLabs,11585,success,
2026-01-26,Clober,CloberDEX,33506,success,
2026-01-26,CoNFT,ConftApp,143342,success,
